j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-20 15:35:09,2026-07-20 15:36:20,2026-07-20 15:36:21,71.0,72.0,0,1000,3.084,0.05759265358979304
2,1,2026-07-20 15:35:09,2026-07-20 15:36:21,2026-07-20 15:36:21,72.0,72.0,0,2000,3.122,0.01959265358979323
3,2,2026-07-20 15:35:09,2026-07-20 15:36:21,2026-07-20 15:36:21,72.0,72.0,0,3000,3.1653333333333333,0.023740679743540216
4,6,2026-07-20 15:35:09,2026-07-20 15:36:22,2026-07-20 15:36:22,73.0,73.0,0,4000,3.165,0.02340734641020692
5,5,2026-07-20 15:35:09,2026-07-20 15:36:22,2026-07-20 15:36:22,73.0,73.0,0,5000,3.152,0.010407346410207019
6,4,2026-07-20 15:35:09,2026-07-20 15:36:21,2026-07-20 15:36:22,72.0,73.0,0,6000,3.1466666666666665,0.005074013076873385
7,3,2026-07-20 15:35:09,2026-07-20 15:36:21,2026-07-20 15:36:22,72.0,73.0,0,7000,3.1382857142857143,0.003306939304078771
8,7,2026-07-20 15:35:09,2026-07-20 15:36:22,2026-07-20 15:36:23,73.0,74.0,0,8000,3.135,0.006592653589793329
9,9,2026-07-20 15:35:09,2026-07-20 15:36:23,2026-07-20 15:36:24,74.0,75.0,0,9000,3.1324444444444444,0.009148209145348751
10,8,2026-07-20 15:35:09,2026-07-20 15:36:23,2026-07-20 15:36:24,74.0,75.0,0,10000,3.1392,0.0023926535897929035
11,12,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,11000,3.1425454545454548,0.0009528009556616368
12,13,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,12000,3.143,0.001407346410206678
13,11,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,13000,3.1384615384615384,0.0031311151282547023
14,28,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,14000,3.130857142857143,0.010735510732650333
15,24,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,15000,3.1346666666666665,0.006925986923126626
16,19,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,16000,3.13325,0.008342653589793247
17,23,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:24,75.0,75.0,0,17000,3.135529411764706,0.006063241825087218
18,10,2026-07-20 15:35:09,2026-07-20 15:36:23,2026-07-20 15:36:25,74.0,76.0,0,18000,3.136222222222222,0.0053704313675710935
19,26,2026-07-20 15:35:09,2026-07-20 15:36:24,2026-07-20 15:36:25,75.0,76.0,0,19000,3.1397894736842105,0.0018031799055826525
