j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-21 11:02:47,2026-07-21 11:03:13,2026-07-21 11:03:13,26.0,26.0,0,1000,3.132,0.009592653589792999
2,1,2026-07-21 11:02:47,2026-07-21 11:03:14,2026-07-21 11:03:14,27.0,27.0,0,2000,3.148,0.0064073464102070155
3,3,2026-07-21 11:02:48,2026-07-21 11:03:14,2026-07-21 11:03:14,27.0,27.0,0,3000,3.1266666666666665,0.014925986923126633
4,2,2026-07-21 11:02:48,2026-07-21 11:03:14,2026-07-21 11:03:14,27.0,27.0,0,4000,3.126,0.015592653589793226
5,6,2026-07-21 11:02:48,2026-07-21 11:03:15,2026-07-21 11:03:15,28.0,28.0,0,5000,3.1256,0.015992653589793182
6,5,2026-07-21 11:02:48,2026-07-21 11:03:15,2026-07-21 11:03:15,28.0,28.0,0,6000,3.1166666666666667,0.02492598692312642
7,4,2026-07-21 11:02:48,2026-07-21 11:03:15,2026-07-21 11:03:15,28.0,28.0,0,7000,3.1062857142857143,0.0353069393040788
8,9,2026-07-21 11:02:48,2026-07-21 11:03:16,2026-07-21 11:03:16,29.0,29.0,0,8000,3.105,0.036592653589793134
9,8,2026-07-21 11:02:48,2026-07-21 11:03:16,2026-07-21 11:03:16,29.0,29.0,0,9000,3.1053333333333333,0.03625932025645984
10,7,2026-07-21 11:02:48,2026-07-21 11:03:15,2026-07-21 11:03:16,28.0,29.0,0,10000,3.1048,0.03679265358979311
11,13,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:17,30.0,30.0,0,11000,3.1138181818181816,0.02777447177161152
12,17,2026-07-21 11:02:48,2026-07-21 11:03:16,2026-07-21 11:03:17,29.0,30.0,0,12000,3.1173333333333333,0.024259320256459826
13,16,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:17,30.0,30.0,0,13000,3.128,0.013592653589793002
14,21,2026-07-21 11:02:48,2026-07-21 11:03:16,2026-07-21 11:03:17,29.0,30.0,0,14000,3.1351428571428572,0.006449796446935885
15,22,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:17,30.0,30.0,0,15000,3.1346666666666665,0.006925986923126626
16,23,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:17,30.0,30.0,0,16000,3.13425,0.0073426535897929135
17,11,2026-07-21 11:02:47,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,17000,3.1371764705882352,0.004416183001557883
18,10,2026-07-21 11:02:47,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,18000,3.1384444444444446,0.003148209145348524
19,29,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:18,31.0,31.0,0,19000,3.1397894736842105,0.0018031799055826525
20,15,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,20000,3.1412,0.0003926535897931238
21,27,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:18,31.0,31.0,0,21000,3.141714285714286,0.0001216321244927876
22,26,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:18,31.0,31.0,0,22000,3.1445454545454545,0.0029528009556614165
23,18,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,23000,3.1459130434782607,0.004320389888467613
24,25,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,24000,3.1465,0.004907346410206959
25,19,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,25000,3.14656,0.004967346410206908
26,34,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:18,31.0,31.0,0,26000,3.148615384615385,0.0070227310255917
27,20,2026-07-21 11:02:48,2026-07-21 11:03:17,2026-07-21 11:03:18,30.0,31.0,0,27000,3.1463703703703705,0.004777716780577368
28,39,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,28000,3.145142857142857,0.003550203553063902
29,38,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,29000,3.14151724137931,7.54122104829058e-05
30,33,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:19,31.0,32.0,0,30000,3.142533333333333,0.0009406797435400627
31,24,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,31000,3.140774193548387,0.0008184600414060661
32,30,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:19,31.0,32.0,0,32000,3.138875,0.0027176535897930343
33,31,2026-07-21 11:02:48,2026-07-21 11:03:18,2026-07-21 11:03:19,31.0,32.0,0,33000,3.140848484848485,0.0007441687413081155
34,35,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,34000,3.141294117647059,0.00029853594273410167
35,36,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,35000,3.1416,7.346410206832132e-06
36,37,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,36000,3.144,0.002407346410207012
37,42,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:19,32.0,32.0,0,37000,3.1444324324324326,0.0028397788426395287
38,48,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:20,33.0,33.0,0,38000,3.143263157894737,0.001670504304943865
39,49,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:20,33.0,33.0,0,39000,3.1443076923076925,0.002715038717899354
40,28,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:20,32.0,33.0,0,40000,3.1443,0.002707346410206757
41,32,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:20,32.0,33.0,0,41000,3.1419512195121952,0.00035856592240213203
42,44,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:20,32.0,33.0,0,42000,3.1416190476190478,2.6394029254639406e-05
43,45,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:20,33.0,33.0,0,43000,3.1411162790697675,0.0004763745200255798
44,56,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:20,33.0,33.0,0,44000,3.141636363636364,4.371004657066635e-05
45,43,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:20,32.0,33.0,0,45000,3.143111111111111,0.0015184575213180729
46,41,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:20,32.0,33.0,0,46000,3.1451304347826086,0.003537781192815448
47,40,2026-07-21 11:02:48,2026-07-21 11:03:19,2026-07-21 11:03:20,32.0,33.0,0,47000,3.1441702127659577,0.0025775591761645344
48,54,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:20,33.0,33.0,0,48000,3.1434166666666665,0.0018240130768734097
49,59,2026-07-21 11:02:48,2026-07-21 11:03:21,2026-07-21 11:03:21,34.0,34.0,0,49000,3.146122448979592,0.0045297953897986964
50,65,2026-07-21 11:02:48,2026-07-21 11:03:21,2026-07-21 11:03:21,34.0,34.0,0,50000,3.14712,0.0055273464102070236
51,58,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:21,33.0,34.0,0,51000,3.147843137254902,0.006250483665108941
52,62,2026-07-21 11:02:48,2026-07-21 11:03:21,2026-07-21 11:03:21,34.0,34.0,0,52000,3.147076923076923,0.005484269487129989
53,61,2026-07-21 11:02:48,2026-07-21 11:03:21,2026-07-21 11:03:21,34.0,34.0,0,53000,3.1463396226415092,0.004746969051716121
54,50,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:21,33.0,34.0,0,54000,3.1458518518518517,0.004259198262058561
55,51,2026-07-21 11:02:48,2026-07-21 11:03:20,2026-07-21 11:03:21,33.0,34.0,0,55000,3.145236363636364,0.003643710046570714
