j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
38,59,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,38000,3.138315789473684,0.0032768641161089462
39,64,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,39000,3.1407179487179486,0.0008747048718444894
40,58,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,40000,3.1396,0.0019926535897929476
41,99,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,41000,3.14009756097561,0.0014950926141832355
42,73,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,42000,3.1419047619047618,0.0003121083149686399
43,63,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,43000,3.1409302325581394,0.0006624210316537038
44,60,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,44000,3.1414545454545455,0.00013810813524761656
45,49,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,45000,3.1428444444444446,0.0012517908546514356
46,61,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,46000,3.1437391304347826,0.0021464768449894756
47,36,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,47000,3.145021276595745,0.003428623005951703
48,37,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,48000,3.1468333333333334,0.005240679743540255
49,50,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,49000,3.1449795918367345,0.0033869382469413623
50,45,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,50000,3.1448,0.003207346410206924
51,51,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,51000,3.143921568627451,0.002328915037657975
52,47,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,52000,3.143,0.001407346410206678
53,53,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,53000,3.1445283018867927,0.002935648296999549
54,52,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,54000,3.1472592592592594,0.005666605669466307
55,46,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,55000,3.1475636363636363,0.005970982773843225
56,42,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,56000,3.1479285714285714,0.006335917838778293
57,43,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,57000,3.1479298245614036,0.006337170971610462
58,55,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,58000,3.147586206896552,0.00599355330675877
59,68,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,59000,3.1477966101694914,0.0062039565796983
60,54,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:06,87.0,88.0,0,60000,3.1482666666666668,0.006674013076873653
