j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-21 11:23:12,2026-07-21 11:23:48,2026-07-21 11:23:48,36.0,36.0,0,1000,3.116,0.025592653589793013
2,1,2026-07-21 11:23:12,2026-07-21 11:23:48,2026-07-21 11:23:48,36.0,36.0,0,2000,3.094,0.047592653589793255
3,2,2026-07-21 11:23:12,2026-07-21 11:23:48,2026-07-21 11:23:48,36.0,36.0,0,3000,3.104,0.037592653589793024
4,5,2026-07-21 11:23:12,2026-07-21 11:23:49,2026-07-21 11:23:49,37.0,37.0,0,4000,3.103,0.038592653589792913
5,4,2026-07-21 11:23:12,2026-07-21 11:23:49,2026-07-21 11:23:49,37.0,37.0,0,5000,3.1288,0.01279265358979309
6,3,2026-07-21 11:23:12,2026-07-21 11:23:49,2026-07-21 11:23:49,37.0,37.0,0,6000,3.13,0.011592653589793223
7,9,2026-07-21 11:23:12,2026-07-21 11:23:50,2026-07-21 11:23:50,38.0,38.0,0,7000,3.1434285714285712,0.0018359178387781228
8,8,2026-07-21 11:23:12,2026-07-21 11:23:50,2026-07-21 11:23:50,38.0,38.0,0,8000,3.153,0.011407346410206909
9,6,2026-07-21 11:23:12,2026-07-21 11:23:49,2026-07-21 11:23:50,37.0,38.0,0,9000,3.1604444444444444,0.018851790854651274
10,7,2026-07-21 11:23:12,2026-07-21 11:23:50,2026-07-21 11:23:50,38.0,38.0,0,10000,3.1524,0.010807346410206975
11,12,2026-07-21 11:23:12,2026-07-21 11:23:51,2026-07-21 11:23:51,39.0,39.0,0,11000,3.1578181818181816,0.01622552822838852
12,10,2026-07-21 11:23:12,2026-07-21 11:23:51,2026-07-21 11:23:51,39.0,39.0,0,12000,3.159666666666667,0.01807401307687373
13,13,2026-07-21 11:23:12,2026-07-21 11:23:51,2026-07-21 11:23:52,39.0,40.0,0,13000,3.16,0.018407346410207026
14,11,2026-07-21 11:23:12,2026-07-21 11:23:51,2026-07-21 11:23:52,39.0,40.0,0,14000,3.164,0.02240734641020703
15,14,2026-07-21 11:23:12,2026-07-21 11:23:52,2026-07-21 11:23:52,40.0,40.0,0,15000,3.164,0.02240734641020703
16,15,2026-07-21 11:23:12,2026-07-21 11:23:52,2026-07-21 11:23:53,40.0,41.0,0,16000,3.159,0.017407346410206692
17,17,2026-07-21 11:23:12,2026-07-21 11:23:53,2026-07-21 11:23:53,41.0,41.0,0,17000,3.163529411764706,0.021936758174912807
18,16,2026-07-21 11:23:12,2026-07-21 11:23:52,2026-07-21 11:23:53,40.0,41.0,0,18000,3.168888888888889,0.027296235299095972
19,18,2026-07-21 11:23:12,2026-07-21 11:23:53,2026-07-21 11:23:53,41.0,41.0,0,19000,3.160421052631579,0.018828399041785904
20,19,2026-07-21 11:23:12,2026-07-21 11:23:53,2026-07-21 11:23:54,41.0,42.0,0,20000,3.158,0.016407346410206802
21,20,2026-07-21 11:23:12,2026-07-21 11:23:54,2026-07-21 11:23:54,42.0,42.0,0,21000,3.1546666666666665,0.013074013076873392
22,21,2026-07-21 11:23:12,2026-07-21 11:23:54,2026-07-21 11:23:55,42.0,43.0,0,22000,3.156727272727273,0.01513461913747971
23,24,2026-07-21 11:23:12,2026-07-21 11:23:56,2026-07-21 11:23:56,44.0,44.0,0,23000,3.155478260869565,0.01388560727977195
24,25,2026-07-21 11:23:12,2026-07-21 11:23:56,2026-07-21 11:23:56,44.0,44.0,0,24000,3.1536666666666666,0.012074013076873502
25,22,2026-07-21 11:23:12,2026-07-21 11:23:55,2026-07-21 11:23:56,43.0,44.0,0,25000,3.15744,0.015847346410206686
26,23,2026-07-21 11:23:12,2026-07-21 11:23:55,2026-07-21 11:23:56,43.0,44.0,0,26000,3.1575384615384614,0.01594580794866829
27,28,2026-07-21 11:23:12,2026-07-21 11:23:57,2026-07-21 11:23:57,45.0,45.0,0,27000,3.155407407407407,0.0138147538176141
28,27,2026-07-21 11:23:12,2026-07-21 11:23:57,2026-07-21 11:23:57,45.0,45.0,0,28000,3.1504285714285714,0.00883591783877824
29,26,2026-07-21 11:23:12,2026-07-21 11:23:56,2026-07-21 11:23:57,44.0,45.0,0,29000,3.1511724137931036,0.009579760203310528
30,29,2026-07-21 11:23:12,2026-07-21 11:23:58,2026-07-21 11:23:58,46.0,46.0,0,30000,3.152,0.010407346410207019
31,30,2026-07-21 11:23:12,2026-07-21 11:23:58,2026-07-21 11:23:58,46.0,46.0,0,31000,3.149677419354839,0.008084765765045798
32,31,2026-07-21 11:23:12,2026-07-21 11:23:58,2026-07-21 11:23:58,46.0,46.0,0,32000,3.14725,0.005657346410206987
33,33,2026-07-21 11:23:12,2026-07-21 11:23:59,2026-07-21 11:23:59,47.0,47.0,0,33000,3.148242424242424,0.006649770652630949
34,32,2026-07-21 11:23:12,2026-07-21 11:23:58,2026-07-21 11:23:59,46.0,47.0,0,34000,3.1501176470588237,0.008524993469030573
35,35,2026-07-21 11:23:12,2026-07-21 11:23:59,2026-07-21 11:23:59,47.0,47.0,0,35000,3.148457142857143,0.006864489267349949
36,34,2026-07-21 11:23:12,2026-07-21 11:23:59,2026-07-21 11:23:59,47.0,47.0,0,36000,3.1515555555555554,0.009962901965762327
37,39,2026-07-21 11:23:12,2026-07-21 11:24:00,2026-07-21 11:24:00,48.0,48.0,0,37000,3.152216216216216,0.010623562626423055
38,38,2026-07-21 11:23:12,2026-07-21 11:24:00,2026-07-21 11:24:00,48.0,48.0,0,38000,3.152,0.010407346410207019
39,36,2026-07-21 11:23:12,2026-07-21 11:23:59,2026-07-21 11:24:00,47.0,48.0,0,39000,3.1507692307692308,0.00917657717943765
40,37,2026-07-21 11:23:12,2026-07-21 11:24:00,2026-07-21 11:24:00,48.0,48.0,0,40000,3.1485,0.006907346410206738
41,40,2026-07-21 11:23:12,2026-07-21 11:24:00,2026-07-21 11:24:00,48.0,48.0,0,41000,3.148487804878049,0.006895151288255796
42,44,2026-07-21 11:23:12,2026-07-21 11:24:01,2026-07-21 11:24:01,49.0,49.0,0,42000,3.148190476190476,0.006597822600682868
43,42,2026-07-21 11:23:12,2026-07-21 11:24:01,2026-07-21 11:24:01,49.0,49.0,0,43000,3.1508837209302327,0.009291067340439607
44,43,2026-07-21 11:23:12,2026-07-21 11:24:01,2026-07-21 11:24:01,49.0,49.0,0,44000,3.152181818181818,0.010589164592024858
45,41,2026-07-21 11:23:12,2026-07-21 11:24:00,2026-07-21 11:24:01,48.0,49.0,0,45000,3.1528,0.011207346410206931
46,45,2026-07-21 11:23:12,2026-07-21 11:24:01,2026-07-21 11:24:02,49.0,50.0,0,46000,3.1531304347826086,0.011537781192815455
47,47,2026-07-21 11:23:12,2026-07-21 11:24:02,2026-07-21 11:24:02,50.0,50.0,0,47000,3.153021276595745,0.01142862300595171
48,46,2026-07-21 11:23:12,2026-07-21 11:24:01,2026-07-21 11:24:02,49.0,50.0,0,48000,3.1518333333333333,0.010240679743540149
49,48,2026-07-21 11:23:12,2026-07-21 11:24:02,2026-07-21 11:24:03,50.0,51.0,0,49000,3.1515102040816325,0.0099175504918394
50,49,2026-07-21 11:23:12,2026-07-21 11:24:03,2026-07-21 11:24:03,51.0,51.0,0,50000,3.15192,0.010327346410206939
51,51,2026-07-21 11:23:12,2026-07-21 11:24:03,2026-07-21 11:24:03,51.0,51.0,0,51000,3.152627450980392,0.011034797390598872
52,50,2026-07-21 11:23:12,2026-07-21 11:24:03,2026-07-21 11:24:04,51.0,52.0,0,52000,3.1526923076923077,0.011099654102514567
53,52,2026-07-21 11:23:12,2026-07-21 11:24:04,2026-07-21 11:24:04,52.0,52.0,0,53000,3.152301886792453,0.010709233202659707
54,53,2026-07-21 11:23:12,2026-07-21 11:24:04,2026-07-21 11:24:05,52.0,53.0,0,54000,3.153037037037037,0.011444383447243744
55,56,2026-07-21 11:23:12,2026-07-21 11:24:05,2026-07-21 11:24:05,53.0,53.0,0,55000,3.1528,0.011207346410206931
56,55,2026-07-21 11:23:12,2026-07-21 11:24:05,2026-07-21 11:24:05,53.0,53.0,0,56000,3.152357142857143,0.010764489267349742
57,54,2026-07-21 11:23:12,2026-07-21 11:24:04,2026-07-21 11:24:05,52.0,53.0,0,57000,3.149754385964912,0.00816173237511908
58,59,2026-07-21 11:23:12,2026-07-21 11:24:06,2026-07-21 11:24:06,54.0,54.0,0,58000,3.1502068965517243,0.00861424296193114
59,58,2026-07-21 11:23:12,2026-07-21 11:24:06,2026-07-21 11:24:06,54.0,54.0,0,59000,3.147457627118644,0.0058649735288507365
60,60,2026-07-21 11:23:12,2026-07-21 11:24:06,2026-07-21 11:24:06,54.0,54.0,0,60000,3.1496,0.00800734641020684
