j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-21 14:15:33,2026-07-21 14:15:58,2026-07-21 14:15:59,25.0,26.0,0,1000,3.14,0.0015926535897929917
2,1,2026-07-21 14:15:33,2026-07-21 14:15:59,2026-07-21 14:16:00,26.0,27.0,0,2000,3.124,0.017592653589793006
3,3,2026-07-21 14:15:33,2026-07-21 14:16:01,2026-07-21 14:16:01,28.0,28.0,0,3000,3.12,0.02159265358979301
4,2,2026-07-21 14:15:33,2026-07-21 14:16:00,2026-07-21 14:16:01,27.0,28.0,0,4000,3.09,0.05159265358979326
5,4,2026-07-21 14:15:33,2026-07-21 14:16:02,2026-07-21 14:16:02,29.0,29.0,0,5000,3.1096,0.031992653589793196
6,5,2026-07-21 14:15:33,2026-07-21 14:16:03,2026-07-21 14:16:03,30.0,30.0,0,6000,3.126,0.015592653589793226
7,6,2026-07-21 14:15:33,2026-07-21 14:16:03,2026-07-21 14:16:04,30.0,31.0,0,7000,3.130857142857143,0.010735510732650333
8,7,2026-07-21 14:15:33,2026-07-21 14:16:05,2026-07-21 14:16:05,32.0,32.0,0,8000,3.1395,0.0020926535897931586
9,8,2026-07-21 14:15:33,2026-07-21 14:16:06,2026-07-21 14:16:07,33.0,34.0,0,9000,3.133777777777778,0.00781487581201512
10,9,2026-07-21 14:15:33,2026-07-21 14:16:08,2026-07-21 14:16:08,35.0,35.0,0,10000,3.142,0.0004073464102067881
11,10,2026-07-21 14:15:33,2026-07-21 14:16:09,2026-07-21 14:16:09,36.0,36.0,0,11000,3.1385454545454547,0.0030471990443383667
12,11,2026-07-21 14:15:33,2026-07-21 14:16:09,2026-07-21 14:16:10,36.0,37.0,0,12000,3.143666666666667,0.0020740130768737153
13,12,2026-07-21 14:15:33,2026-07-21 14:16:10,2026-07-21 14:16:11,37.0,38.0,0,13000,3.143076923076923,0.0014842694871299855
14,13,2026-07-21 14:15:33,2026-07-21 14:16:11,2026-07-21 14:16:12,38.0,39.0,0,14000,3.141142857142857,0.00044979644693610155
15,14,2026-07-21 14:15:33,2026-07-21 14:16:12,2026-07-21 14:16:13,39.0,40.0,0,15000,3.1386666666666665,0.0029259869231266222
16,15,2026-07-21 14:15:33,2026-07-21 14:16:13,2026-07-21 14:16:13,40.0,40.0,0,16000,3.1395,0.0020926535897931586
17,16,2026-07-21 14:15:33,2026-07-21 14:16:14,2026-07-21 14:16:14,41.0,41.0,0,17000,3.1402352941176472,0.0013573594721458804
18,17,2026-07-21 14:15:33,2026-07-21 14:16:15,2026-07-21 14:16:15,42.0,42.0,0,18000,3.141111111111111,0.00048154247868215094
19,18,2026-07-21 14:15:33,2026-07-21 14:16:16,2026-07-21 14:16:16,43.0,43.0,0,19000,3.142736842105263,0.001144188515469935
20,19,2026-07-21 14:15:33,2026-07-21 14:16:16,2026-07-21 14:16:17,43.0,44.0,0,20000,3.141,0.0005926535897931018
21,20,2026-07-21 14:15:33,2026-07-21 14:16:17,2026-07-21 14:16:18,44.0,45.0,0,21000,3.141714285714286,0.0001216321244927876
22,21,2026-07-21 14:15:33,2026-07-21 14:16:18,2026-07-21 14:16:19,45.0,46.0,0,22000,3.1392727272727274,0.002319926317065679
23,22,2026-07-21 14:15:33,2026-07-21 14:16:19,2026-07-21 14:16:20,46.0,47.0,0,23000,3.139304347826087,0.002288305763705978
24,24,2026-07-21 14:15:33,2026-07-21 14:16:21,2026-07-21 14:16:21,48.0,48.0,0,24000,3.1386666666666665,0.0029259869231266222
25,23,2026-07-21 14:15:33,2026-07-21 14:16:20,2026-07-21 14:16:21,47.0,48.0,0,25000,3.1392,0.0023926535897929035
26,25,2026-07-21 14:15:33,2026-07-21 14:16:22,2026-07-21 14:16:22,49.0,49.0,0,26000,3.135846153846154,0.005746499743639166
27,26,2026-07-21 14:15:33,2026-07-21 14:16:22,2026-07-21 14:16:23,49.0,50.0,0,27000,3.1374814814814815,0.004111172108311578
28,27,2026-07-21 14:15:33,2026-07-21 14:16:23,2026-07-21 14:16:24,50.0,51.0,0,28000,3.136857142857143,0.004735510732650106
29,28,2026-07-21 14:15:33,2026-07-21 14:16:24,2026-07-21 14:16:25,51.0,52.0,0,29000,3.1382068965517242,0.0033857570380688706
30,29,2026-07-21 14:15:33,2026-07-21 14:16:25,2026-07-21 14:16:26,52.0,53.0,0,30000,3.1404,0.0011926535897930357
31,30,2026-07-21 14:15:33,2026-07-21 14:16:26,2026-07-21 14:16:26,53.0,53.0,0,31000,3.1409032258064515,0.0006894277833415785
32,31,2026-07-21 14:15:33,2026-07-21 14:16:27,2026-07-21 14:16:27,54.0,54.0,0,32000,3.139625,0.001967653589793006
33,32,2026-07-21 14:15:33,2026-07-21 14:16:28,2026-07-21 14:16:28,55.0,55.0,0,33000,3.139030303030303,0.0025623505594900564
34,33,2026-07-21 14:15:33,2026-07-21 14:16:28,2026-07-21 14:16:29,55.0,56.0,0,34000,3.1388235294117646,0.002769124178028548
35,34,2026-07-21 14:15:33,2026-07-21 14:16:30,2026-07-21 14:16:30,57.0,57.0,0,35000,3.1389714285714287,0.0026212250183643704
36,35,2026-07-21 14:15:33,2026-07-21 14:16:30,2026-07-21 14:16:31,57.0,58.0,0,36000,3.1412222222222224,0.000370431367570756
