j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-16 15:20:50,2026-07-16 15:23:02,2026-07-16 15:23:02,132.0,132.0,0,1000,3.152,0.010407346410207019
2,1,2026-07-16 15:20:50,2026-07-16 15:23:02,2026-07-16 15:23:03,132.0,133.0,0,2000,3.146,0.004407346410206792
3,2,2026-07-16 15:20:50,2026-07-16 15:23:03,2026-07-16 15:23:03,133.0,133.0,0,3000,3.1426666666666665,0.0010740130768733813
4,4,2026-07-16 15:20:50,2026-07-16 15:23:04,2026-07-16 15:23:04,134.0,134.0,0,4000,3.141,0.0005926535897931018
5,3,2026-07-16 15:20:50,2026-07-16 15:23:03,2026-07-16 15:23:04,133.0,134.0,0,5000,3.1256,0.015992653589793182
6,6,2026-07-16 15:20:50,2026-07-16 15:23:05,2026-07-16 15:23:05,135.0,135.0,0,6000,3.1353333333333335,0.0062593202564595884
7,5,2026-07-16 15:20:50,2026-07-16 15:23:04,2026-07-16 15:23:05,134.0,135.0,0,7000,3.1302857142857143,0.011306939304078778
8,7,2026-07-16 15:20:50,2026-07-16 15:23:06,2026-07-16 15:23:06,136.0,136.0,0,8000,3.1375,0.004092653589792938
9,9,2026-07-16 15:20:50,2026-07-16 15:23:07,2026-07-16 15:23:07,137.0,137.0,0,9000,3.1333333333333333,0.008259320256459812
10,8,2026-07-16 15:20:50,2026-07-16 15:23:06,2026-07-16 15:23:07,136.0,137.0,0,10000,3.1336,0.007992653589793175
11,11,2026-07-16 15:20:50,2026-07-16 15:23:08,2026-07-16 15:23:08,138.0,138.0,0,11000,3.133090909090909,0.00850174449888419
12,10,2026-07-16 15:20:50,2026-07-16 15:23:07,2026-07-16 15:23:08,137.0,138.0,0,12000,3.1363333333333334,0.005259320256459699
13,12,2026-07-16 15:20:50,2026-07-16 15:23:09,2026-07-16 15:23:09,139.0,139.0,0,13000,3.139076923076923,0.002515730512870018
14,13,2026-07-16 15:20:50,2026-07-16 15:23:09,2026-07-16 15:23:10,139.0,140.0,0,14000,3.14,0.0015926535897929917
15,14,2026-07-16 15:20:50,2026-07-16 15:23:10,2026-07-16 15:23:10,140.0,140.0,0,15000,3.138933333333333,0.002659320256459985
16,15,2026-07-16 15:20:50,2026-07-16 15:23:10,2026-07-16 15:23:11,140.0,141.0,0,16000,3.13925,0.00234265358979302
17,16,2026-07-16 15:20:50,2026-07-16 15:23:11,2026-07-16 15:23:11,141.0,141.0,0,17000,3.1374117647058823,0.004180888883910772
18,17,2026-07-16 15:20:50,2026-07-16 15:23:12,2026-07-16 15:23:12,142.0,142.0,0,18000,3.132888888888889,0.00870376470090406
19,32,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:14,143.0,144.0,0,19000,3.1315789473684212,0.010013706221371876
20,18,2026-07-16 15:20:50,2026-07-16 15:23:12,2026-07-16 15:23:14,142.0,144.0,0,20000,3.1334,0.008192653589793153
21,31,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:14,143.0,144.0,0,21000,3.137142857142857,0.004449796446936105
22,35,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:14,143.0,144.0,0,22000,3.1392727272727274,0.002319926317065679
23,22,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:14,143.0,144.0,0,23000,3.138434782608696,0.0031578709810973216
24,48,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:15,144.0,145.0,0,24000,3.136833333333333,0.004759320256459976
25,49,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:15,144.0,145.0,0,25000,3.13648,0.005112653589792959
26,44,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:15,143.0,145.0,0,26000,3.1384615384615384,0.0031311151282547023
27,45,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:15,143.0,145.0,0,27000,3.1413333333333333,0.00025932025645980517
28,55,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:15,144.0,145.0,0,28000,3.137714285714286,0.003878367875507216
29,41,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:15,143.0,145.0,0,29000,3.137793103448276,0.0037995501415171162
30,40,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:15,143.0,145.0,0,30000,3.135866666666667,0.005725986923126314
31,71,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,31000,3.137032258064516,0.0045603955252770945
32,64,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,32000,3.135875,0.005717653589793148
33,66,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,33000,3.133090909090909,0.00850174449888419
34,72,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,34000,3.134470588235294,0.0071220653544989965
35,73,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,35000,3.135542857142857,0.006049796446935929
36,67,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,36000,3.1365555555555558,0.005037098034237353
37,88,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,37000,3.137081081081081,0.004511572508711925
38,77,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,38000,3.1373684210526314,0.004224232537161754
39,76,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,39000,3.137230769230769,0.004361884359024071
40,62,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,40000,3.1356,0.005992653589792951
41,74,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,41000,3.137268292682927,0.004324360906866165
42,61,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,42000,3.137047619047619,0.004545034542174253
43,75,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,43000,3.1368372093023256,0.004755444287467547
44,285,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,44000,3.1371818181818183,0.004410835407974822
45,21,2026-07-16 15:20:50,2026-07-16 15:23:13,2026-07-16 15:23:16,143.0,146.0,0,45000,3.1365333333333334,0.005059320256459721
46,78,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,46000,3.1389565217391304,0.002636131850662693
47,79,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,47000,3.139148936170213,0.0024437174195801603
48,86,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,48000,3.13975,0.0018426535897932972
49,80,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,49000,3.139183673469388,0.0024089801204052463
50,69,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,50000,3.13744,0.0041526535897933314
51,68,2026-07-16 15:20:50,2026-07-16 15:23:14,2026-07-16 15:23:16,144.0,146.0,0,51000,3.1374901960784314,0.0041024575113617345
52,65,2026-07-16 15:20:50,2026-07-16 15:23:15,2026-07-16 15:23:17,145.0,147.0,0,52000,3.1363846153846153,0.00520803820517779
53,63,2026-07-16 15:20:50,2026-07-16 15:23:15,2026-07-16 15:23:17,145.0,147.0,0,53000,3.135320754716981,0.006271898872812098
54,101,2026-07-16 15:20:50,2026-07-16 15:23:15,2026-07-16 15:23:17,145.0,147.0,0,54000,3.1353333333333335,0.0062593202564595884
55,115,2026-07-16 15:20:50,2026-07-16 15:23:15,2026-07-16 15:23:17,145.0,147.0,0,55000,3.136727272727273,0.004865380862520308
56,20,2026-07-16 15:20:50,2026-07-16 15:23:15,2026-07-16 15:23:17,145.0,147.0,0,56000,3.136214285714286,0.005378367875507273
57,99,2026-07-16 15:20:50,2026-07-16 15:23:16,2026-07-16 15:23:18,146.0,148.0,0,57000,3.135719298245614,0.00587335534417921
58,98,2026-07-16 15:20:50,2026-07-16 15:23:16,2026-07-16 15:23:18,146.0,148.0,0,58000,3.1334482758620688,0.008144377727724361
59,334,2026-07-16 15:20:50,2026-07-16 15:23:16,2026-07-16 15:23:18,146.0,148.0,0,59000,3.1326101694915254,0.00898248409826774
60,330,2026-07-16 15:20:50,2026-07-16 15:23:16,2026-07-16 15:23:18,146.0,148.0,0,60000,3.1328666666666667,0.008725986923126428
61,28,2026-07-16 15:20:50,2026-07-16 15:23:15,2026-07-16 15:23:18,145.0,148.0,0,61000,3.132983606557377,0.00860904703241605
