j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,4,2026-07-21 09:14:25,2026-07-21 09:19:09,2026-07-21 09:19:09,284.0,284.0,0,1000,3.16,0.018407346410207026
2,1,2026-07-21 09:14:25,2026-07-21 09:19:08,2026-07-21 09:19:09,283.0,284.0,0,2000,3.202,0.06040734641020684
3,3,2026-07-21 09:14:25,2026-07-21 09:19:09,2026-07-21 09:19:09,284.0,284.0,0,3000,3.172,0.030407346410207037
4,2,2026-07-21 09:14:25,2026-07-21 09:19:08,2026-07-21 09:19:09,283.0,284.0,0,4000,3.164,0.02240734641020703
5,6,2026-07-21 09:14:25,2026-07-21 09:19:10,2026-07-21 09:19:10,285.0,285.0,0,5000,3.16,0.018407346410207026
6,0,2026-07-21 09:14:25,2026-07-21 09:19:09,2026-07-21 09:19:10,284.0,285.0,0,6000,3.156,0.014407346410207023
7,9,2026-07-21 09:14:25,2026-07-21 09:19:11,2026-07-21 09:19:11,286.0,286.0,0,7000,3.1525714285714286,0.010978774981635464
8,7,2026-07-21 09:14:25,2026-07-21 09:19:10,2026-07-21 09:19:11,285.0,286.0,0,8000,3.1475,0.0059073464102068485
9,8,2026-07-21 09:14:25,2026-07-21 09:19:11,2026-07-21 09:19:12,286.0,287.0,0,9000,3.1346666666666665,0.006925986923126626
10,12,2026-07-21 09:14:25,2026-07-21 09:19:12,2026-07-21 09:19:12,287.0,287.0,0,10000,3.1224,0.019192653589793274
11,10,2026-07-21 09:14:25,2026-07-21 09:19:12,2026-07-21 09:19:12,287.0,287.0,0,11000,3.1178181818181816,0.023774471771611516
12,13,2026-07-21 09:14:25,2026-07-21 09:19:13,2026-07-21 09:19:13,288.0,288.0,0,12000,3.1266666666666665,0.014925986923126633
13,11,2026-07-21 09:14:25,2026-07-21 09:19:13,2026-07-21 09:19:14,288.0,289.0,0,13000,3.1283076923076925,0.01328496128210066
14,14,2026-07-21 09:14:25,2026-07-21 09:19:13,2026-07-21 09:19:15,288.0,290.0,0,14000,3.130857142857143,0.010735510732650333
15,24,2026-07-21 09:14:25,2026-07-21 09:19:14,2026-07-21 09:19:15,289.0,290.0,0,15000,3.1322666666666668,0.009325986923126361
16,33,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:16,290.0,291.0,0,16000,3.1355,0.006092653589793162
17,26,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:16,290.0,291.0,0,17000,3.1416470588235295,5.4405233736343206e-05
18,32,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:16,290.0,291.0,0,18000,3.144222222222222,0.0026295686324289136
19,25,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:16,290.0,291.0,0,19000,3.1437894736842105,0.002196820094417351
20,21,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:16,290.0,291.0,0,20000,3.1452,0.0036073464102068797
21,39,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:17,290.0,292.0,0,21000,3.1474285714285712,0.005835917838778126
22,38,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:17,290.0,292.0,0,22000,3.144,0.002407346410207012
23,35,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:17,290.0,292.0,0,23000,3.145739130434783,0.004146476844989699
24,34,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:17,290.0,292.0,0,24000,3.1486666666666667,0.007074013076873609
25,5,2026-07-21 09:14:25,2026-07-21 09:19:15,2026-07-21 09:19:17,290.0,292.0,0,25000,3.15088,0.009287346410206787
26,44,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:18,291.0,293.0,0,26000,3.1493846153846152,0.007791961794822111
27,45,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:18,291.0,293.0,0,27000,3.150074074074074,0.00848142048428091
28,361,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:18,291.0,293.0,0,28000,3.1464285714285714,0.0048359178387782364
29,42,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:18,291.0,293.0,0,29000,3.147310344827586,0.005717691237792977
30,41,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:18,291.0,293.0,0,30000,3.1452,0.0036073464102068797
31,40,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:18,291.0,293.0,0,31000,3.1465806451612903,0.004987991571497208
32,58,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,32000,3.14525,0.003657346410206763
33,48,2026-07-21 09:14:25,2026-07-21 09:19:16,2026-07-21 09:19:19,291.0,294.0,0,33000,3.1471515151515153,0.005558861561722139
34,475,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,34000,3.1468235294117646,0.005230875821971459
35,50,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,35000,3.1437714285714287,0.002178774981635545
36,51,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,36000,3.1446666666666667,0.003074013076873605
37,47,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,37000,3.147135135135135,0.005542481545341982
38,46,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,38000,3.1457894736842107,0.004196820094417575
39,399,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,39000,3.144102564102564,0.00250991051277083
40,54,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:19,292.0,294.0,0,40000,3.1417,0.00010734641020704316
41,59,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:20,292.0,295.0,0,41000,3.140487804878049,0.0011048487117442107
42,65,2026-07-21 09:14:25,2026-07-21 09:19:18,2026-07-21 09:19:20,293.0,295.0,0,42000,3.136761904761905,0.004830748827888254
43,64,2026-07-21 09:14:25,2026-07-21 09:19:18,2026-07-21 09:19:20,293.0,295.0,0,43000,3.137302325581395,0.004290328008397903
44,67,2026-07-21 09:14:25,2026-07-21 09:19:18,2026-07-21 09:19:20,293.0,295.0,0,44000,3.1366363636363634,0.004956289953429671
45,554,2026-07-21 09:14:25,2026-07-21 09:19:18,2026-07-21 09:19:20,293.0,295.0,0,45000,3.1352,0.006392653589792907
46,474,2026-07-21 09:14:25,2026-07-21 09:19:17,2026-07-21 09:19:20,292.0,295.0,0,46000,3.134521739130435,0.007070914459358146
