j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-21 10:55:46,2026-07-21 10:56:12,2026-07-21 10:56:12,26.0,26.0,0,1000,3.052,0.08959265358979307
2,4,2026-07-21 10:55:46,2026-07-21 10:56:13,2026-07-21 10:56:13,27.0,27.0,0,2000,3.098,0.04359265358979325
3,1,2026-07-21 10:55:46,2026-07-21 10:56:12,2026-07-21 10:56:13,26.0,27.0,0,3000,3.1173333333333333,0.024259320256459826
4,3,2026-07-21 10:55:46,2026-07-21 10:56:13,2026-07-21 10:56:13,27.0,27.0,0,4000,3.117,0.024592653589793123
5,2,2026-07-21 10:55:46,2026-07-21 10:56:13,2026-07-21 10:56:13,27.0,27.0,0,5000,3.112,0.029592653589793017
6,9,2026-07-21 10:55:46,2026-07-21 10:56:14,2026-07-21 10:56:14,28.0,28.0,0,6000,3.1153333333333335,0.026259320256459606
7,8,2026-07-21 10:55:46,2026-07-21 10:56:14,2026-07-21 10:56:14,28.0,28.0,0,7000,3.1222857142857143,0.019306939304078785
8,6,2026-07-21 10:55:46,2026-07-21 10:56:14,2026-07-21 10:56:14,28.0,28.0,0,8000,3.138,0.0035926535897932155
9,7,2026-07-21 10:55:46,2026-07-21 10:56:14,2026-07-21 10:56:14,28.0,28.0,0,9000,3.1355555555555554,0.006037098034237687
10,5,2026-07-21 10:55:46,2026-07-21 10:56:13,2026-07-21 10:56:14,27.0,28.0,0,10000,3.1368,0.004792653589793083
11,12,2026-07-21 10:55:46,2026-07-21 10:56:15,2026-07-21 10:56:15,29.0,29.0,0,11000,3.136727272727273,0.004865380862520308
12,13,2026-07-21 10:55:46,2026-07-21 10:56:15,2026-07-21 10:56:15,29.0,29.0,0,12000,3.1306666666666665,0.01092598692312663
13,11,2026-07-21 10:55:46,2026-07-21 10:56:15,2026-07-21 10:56:15,29.0,29.0,0,13000,3.130153846153846,0.011438807435947052
14,10,2026-07-21 10:55:46,2026-07-21 10:56:15,2026-07-21 10:56:15,29.0,29.0,0,14000,3.1314285714285712,0.010164082161221888
